001	115	Pohnpei	Micronesia (Federated States of)	6.97800	158.19700	2001-12-17	2023-10-31	daily hourly	daily hourly	daily hourly	daily hourly
002	113	Tarawa, Bairiki	Kiribati	1.33200	173.01300	1992-12-04	2023-10-31	daily hourly	daily hourly	daily hourly	daily hourly
003	169	Baltra	Ecuador	-0.43700	-90.28500	1985-03-26	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
004	114	Nauru	Nauru	-0.52800	166.90500	1993-07-08	2023-09-04	daily hourly	daily hourly	daily hourly	daily hourly
005	112	Majuro	Marshall Islands (the)	7.10800	171.37200	1993-05-14	2023-09-12	daily hourly	daily hourly	daily hourly	daily hourly
007	120	Malakal	Palau	7.33000	134.46300	1969-05-19	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
008	119	Yap	Micronesia (Federated States of)	9.51700	138.13300	1969-05-11	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
009	066	Honiara	Solomon Islands	-9.42200	159.95500	1994-07-28	2023-10-31	daily hourly	daily hourly	daily hourly	daily hourly
011	146	Christmas	Kiribati	1.98500	-157.47700	1974-02-07	2023-10-02	daily hourly	daily hourly	daily hourly	daily hourly
013	145	Kanton	Kiribati	-2.81000	-171.71800	1972-05-02	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
014	107	French Frigate	United States of America (the)	23.86800	-166.28800	2007-05-27	2023-11-29	daily hourly	daily hourly	daily hourly	daily hourly
015	140	Papeete	France	-17.53200	-149.56700	1975-06-09	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
016	138	Rikitea	France	-23.12500	-134.95300	2021-04-01	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
017		Hiva Oa	France	-9.81000	-139.02700	2010-09-05	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
018	122	Suva	Fiji	-18.13200	178.42700	1998-01-27	2023-10-31	daily hourly	daily hourly	daily hourly	daily hourly
019	123	Noumea	France	-22.24200	166.41700	1967-02-25	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
021	176	Juan Fernandez	Chile	-33.62200	-78.83300	1985-09-05	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
022	137	Easter	Chile	-27.15000	-109.44800	1970-04-03	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
023	139	Rarotonga	Cook Islands (the)	-21.20700	-159.77500	1993-02-20	2023-10-31	daily hourly	daily hourly	daily hourly	daily hourly
024	143	Penrhyn	Cook Islands (the)	-8.97700	-158.05300	1977-04-17	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
025	121	Funafuti	Tuvalu	-8.52500	179.19500	1993-03-24	2023-10-31	daily hourly	daily hourly	daily hourly	daily hourly
028	118	Saipan	United States of America (the)	15.22700	145.74200	1978-09-19	2023-11-23	daily hourly	daily hourly	daily hourly	daily hourly
029	117	Kapingamarangi	Micronesia (Federated States of)	1.09800	154.77700	1978-09-09	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
030		Santa Cruz	Ecuador	-0.75500	-90.31300	1978-10-20	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
031	142	Nuku Hiva	France	-8.93000	-140.08200	1982-04-01	2023-11-30	daily hourly	daily hourly	daily hourly	daily hourly
